Instruction,Word,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,space,1.0359751000005417,,,,,,,,,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
,,,,,,,,1,1.885461781000231,,,,,,,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
,,,,,,,,,,1,0.16896014900066803,,,,,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
,,,,,,,,,,,,1,0.1859430059994338,,,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,ANXIOUS ,0,0,0,1,,,,,,,,,1,0.15761888599990925,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,TENDER,0,1,1,10,,,,,,,,,1,0.3514805630002229,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,GUILTY,0,2,2,5,,,,,,,,,1,0.18568625700027042,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,EXCITED,0,3,3,7,,,,,,,,,1,0.18513188700035244,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,SAD,0,4,4,0,,,,,,,,,1,0.3178692299998147,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,ASHAMED,0,5,5,4,,,,,,,,,1,0.3019704220005224,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,ALERT,0,6,6,8,,,,,,,,,1,0.3700740499998574,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,ANGRY,0,7,7,2,,,,,,,,,1,0.33458979399983946,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,ACTIVE,0,8,8,9,,,,,,,,,1,0.31856995999987703,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,SCARED,0,9,9,11,,,,,,,,,1,0.35130824700081575,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,HAPPY,0,10,10,6,,,,,,,,,1,0.36737041099968337,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
To what extent did the music make you feel ,FRUSTRATED,0,11,11,3,,,,,,,,,1,0.3524992430002385,999,001,2019_May_07_0832,MusicAffectPsychophysiology2019,3.0.5,60.1118363885158,
