Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'1',1.4676039218902588,1.4676039218902588,0.0,10.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'4',2.351177215576172,2.351177215576172,0.0,2.0
To what extent did the music make you feel ,ANGRY,1.0,'1',4.0178704261779785,4.0178704261779785,0.0,8.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',2.418652296066284,2.418652296066284,0.0,6.0
To what extent did the music make you feel ,ASHAMED,1.0,'1',1.9189488887786865,1.9189488887786865,0.0,0.0
To what extent did the music make you feel ,GUILTY,1.0,'1',1.7848365306854248,1.7848365306854248,0.0,3.0
To what extent did the music make you feel ,HAPPY,1.0,'2',1.5851876735687256,1.5851876735687256,0.0,7.0
To what extent did the music make you feel ,EXCITED,1.0,'2',2.9516654014587402,2.9516654014587402,0.0,5.0
To what extent did the music make you feel ,ALERT,1.0,'5',2.7983198165893555,2.7983198165893555,0.0,4.0
To what extent did the music make you feel ,ACTIVE,1.0,'2',1.6174697875976562,1.6174697875976562,0.0,1.0
To what extent did the music make you feel ,TENDER,1.0,'1',0.9503804445266724,0.9503804445266724,0.0,9.0
To what extent did the music make you feel ,SCARED,1.0,'4',2.668015480041504,2.668015480041504,0.0,11.0

extraInfo
participant,021
session,001
date,2019_May_13_1110
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,59.922811626538774
﻿Instruction,Word,n,WordResponse.keys_raw,WordResponse.rt_mean,WordResponse.rt_raw,WordResponse.rt_std,order
To what extent did the music make you feel ,SAD,1.0,'3',2.3333828449249268,2.3333828449249268,0.0,7.0
To what extent did the music make you feel ,ANXIOUS ,1.0,'1',1.1517261266708374,1.1517261266708374,0.0,11.0
To what extent did the music make you feel ,ANGRY,1.0,'1',2.518299102783203,2.518299102783203,0.0,0.0
To what extent did the music make you feel ,FRUSTRATED,1.0,'1',1.3015424013137817,1.3015424013137817,0.0,2.0
To what extent did the music make you feel ,ASHAMED,1.0,'2',1.2341605424880981,1.2341605424880981,0.0,4.0
To what extent did the music make you feel ,GUILTY,1.0,'2',1.4184199571609497,1.4184199571609497,0.0,3.0
To what extent did the music make you feel ,HAPPY,1.0,'1',2.0025556087493896,2.0025556087493896,0.0,8.0
To what extent did the music make you feel ,EXCITED,1.0,'1',1.8349809646606445,1.8349809646606445,0.0,5.0
