Instruction,Word,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,song,valence,arousal,affectcat,songmark,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,likekey.keys,likekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,space,5.878557117001037,,,,,,,,,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
,,,,,,,,,,,,,,,,,1,1.9537764489941765,,,,,,,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
,,,,,,,,,,,,,,,,,,,1,0.255074903005152,,,,,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
,,,,,,,,,,,,,,,,,,,,,1,0.3037639760004822,,,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,ASHAMED,0,0,0,4,,,,,,,,,,,,,,,,,,1,0.7930894220044138,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,ANGRY,0,1,1,2,,,,,,,,,,,,,,,,,,1,0.32419835300242994,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,HAPPY,0,2,2,6,,,,,,,,,,,,,,,,,,1,0.320266350012389,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,FRUSTRATED,0,3,3,3,,,,,,,,,,,,,,,,,,1,0.6600766829942586,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,ANXIOUS ,0,4,4,1,,,,,,,,,,,,,,,,,,1,0.6609940560010727,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,EXCITED,0,5,5,7,,,,,,,,,,,,,,,,,,1,0.39289340100367554,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,TENDER,0,6,6,10,,,,,,,,,,,,,,,,,,1,0.3930582219909411,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,ALERT,0,7,7,8,,,,,,,,,,,,,,,,,,1,0.34055004800029565,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,GUILTY,0,8,8,5,,,,,,,,,,,,,,,,,,1,0.3699791249964619,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,SAD,0,9,9,0,,,,,,,,,,,,,,,,,,1,0.4370308719953755,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,SCARED,0,10,10,11,,,,,,,,,,,,,,,,,,1,0.42432112799724564,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
To what extent did the music make you feel ,ACTIVE,0,11,11,9,,,,,,,,,,,,,,,,,,1,0.4429809529974591,999,001,2019_Aug_26_0900,MusicAffectPsychophysiology2019,3.0.5,59.72676498380074,
